,Adj_Close,Close,High,Low,Open,Volume
2005-03-17,31.6064,55.5286,55.9667,54.981,55.5286,2647600
2005-03-18,31.544,55.419,55.9667,55.2001,55.2001,2025300
2005-03-21,31.6688,55.6381,56.0762,55.3095,55.3095,2229400
2005-03-22,32.4168,56.9523,57.3905,55.3095,55.419,11366400
2005-03-23,33.8506,59.4715,59.581,57.3905,57.3905,17692500
2005-03-24,32.8532,57.7191,59.0334,57.3905,58.9238,7266500
2005-03-25,32.2922,56.7334,57.9382,55.9667,57.9382,7737800
2005-03-28,32.0428,56.2953,56.7334,56.0762,56.7334,3995700
2005-03-29,31.8557,55.9667,56.4047,55.5286,56.2953,7205200
2005-03-30,31.8557,55.9667,56.4047,55.6381,55.7476,3892300
2005-03-31,31.8557,55.9667,56.5143,55.8571,56.2953,3210600
2005-04-01,31.544,55.419,56.4047,55.3095,55.9667,10047100
2005-04-04,31.4817,55.3095,56.1858,55.3095,55.6381,2585700
2005-04-06,31.8557,55.9667,56.2953,55.419,55.419,2159000
2005-04-07,31.730999999999998,55.7476,56.2953,55.7476,55.9667,3424000
2005-04-08,31.730999999999998,55.7476,56.2953,55.6381,56.0762,2000700
2005-04-11,31.7934,55.8571,56.1858,55.6381,55.7476,2307000
2005-04-12,31.7934,55.8571,56.1858,55.6381,56.1858,1748400
2005-04-13,31.8557,55.9667,56.1858,55.6381,55.8571,1424800
2005-04-14,31.6688,55.6381,56.0762,55.6381,55.8571,3380200
2005-04-15,31.17,54.7619,55.6381,54.2143,55.419,4281500
2005-04-18,30.8583,54.2143,54.981,53.9953,53.9953,4866400
2005-04-19,30.8895,54.269,55.2001,54.269,54.3238,3994400
2005-04-20,31.17,54.7619,54.8714,54.6525,54.7619,3820300
2005-04-21,31.3571,55.0905,55.2001,53.6666,53.6666,3210800
2005-04-22,31.3571,55.0905,55.2001,54.7619,55.2001,3355300
2005-04-25,31.0454,54.5429,55.0905,54.4334,55.0905,1667000
